raw_author_name	normalized_last	normalized_first	first_initial	normalized_middle	middle_initials	population_freq	log10_freq	est_humans
None Ahmad Manasrah	manasrah	none	n	ahmad	a	0.000000000000004	-14.45	0.0000
Emily A. Eikey (8452800)	eikey	emily	e		a	0.000000000035892	-10.45	0.2907
Bishay MN	mn	bishay	b			0.000000000001000	-12.00	0.0081
Sheida Rabipour	rabipour	sheida	s			0.000000000001397	-11.85	0.0113
R Kvi'	kvi		r			0.000000045675729	-7.34	369.9734
Moret Be	be	moret	m			0.000000000043275	-10.36	0.3505
Van Hellemont, Jan	van hellemont	jan	j			0.000000000357507	-9.45	2.8958
E Cothran	cothran		e			0.000000033222746	-7.48	269.1042
Jerome Marin	marin	jerome	j			0.000000016726792	-7.78	135.4870
Maureen E. Hillenmeyer	hillenmeyer	maureen	m		e	0.000000000002426	-11.62	0.0196
Dalpiaz A	a	dalpiaz	d			0.000000000004006	-11.40	0.0325
Mullenders, L	mullenders		l			0.000000049094945	-7.31	397.6691
OʼBrien, Eoin	obrien	eoin	e			0.000000000071146	-10.15	0.5763
Brätter C	c	bratter	b			0.000000000001000	-12.00	0.0081
松井健史	song	jing jian shi	j			0.000000001409373	-8.85	11.4159
Maryna de Wet	de wet	maryna	m			0.000000000024374	-10.61	0.1974
Norlander, Therese	norlander	therese	t			0.000000000024219	-10.62	0.1962
Sang-Ui Choi	choi	sang-ui	s			0.000000000333065	-9.48	2.6978
Kundu, Jogendra Nath	kundu	jogendra	j	nath	n	0.000000000000013	-13.89	0.0001
P Healsey	healsey		p			0.000000028997808	-7.54	234.8822
Delgado, Leonardo Ordoñez	delgado	leonardo	l	ordonez	o	0.000000000000061	-13.21	0.0005
Irma Elizabeth Tapia Zapata	zapata	irma	i	elizabeth tapia	e	0.000000000000004	-14.40	0.0000
Easton, Victoria	easton	victoria	v			0.000000001993775	-8.70	16.1496
R. G. B. Williams	williams		r		gb	0.000000032827616	-7.48	265.9037
Larry Franz	franz	larry	l			0.000000002267397	-8.64	18.3659
Maitra, Prithwiraj	maitra	prithwiraj	p			0.000000000017604	-10.75	0.1426
Mitch Levesque	levesque	mitch	m			0.000000000360288	-9.44	2.9183
Basik, Megha	basik	megha	m			0.000000000091920	-10.04	0.7446
YU Jianyong	jianyong	yu	y			0.000000000528300	-9.28	4.2792
Lardot, H	lardot		h			0.000000036445871	-7.44	295.2116
Micheline Champoux	champoux	micheline	m			0.000000000006458	-11.19	0.0523
Atlanta Historical Society	society	atlanta	a	historical	h	0.000000000000000	-17.51	0.0000
A. LOUBATIÈRES	loubatieres		a			0.000000094545605	-7.02	765.8194
Kasturi .		kasturi	k			0.000000000007092	-11.15	0.0574
Al-Shammari, Afaf	al-shammari	afaf	a			0.000000000110161	-9.96	0.8923
Wessels, PPF	wessels	ppf	p			0.000000000009290	-11.03	0.0753
Fien De Block	de block	fien	f			0.000000000001201	-11.92	0.0097
Temel Sinan	sinan	temel	t			0.000000000020292	-10.69	0.1644
Anup Singh Beniwal	beniwal	anup	a	singh	s	0.000000000000009	-14.05	0.0001
Dixon,R  S	dixon		r		s	0.000000263981408	-6.58	2138.2494
Jhoselyn Yomar Granda Reinoso	reinoso	jhoselyn	j	yomar granda	y	0.000000000000000	-16.78	0.0000
R Bochicchio	bochicchio		r			0.000000045675729	-7.34	369.9734
Gui Xiujuan	xiujuan	gui	g			0.000000000065172	-10.19	0.5279
Nuraje, Aygul	nuraje	aygul	a			0.000000000003331	-11.48	0.0270
None Shuchi Wei	wei	none	n	shuchi	s	0.000000000000024	-13.62	0.0002
Drs J. L. Thijs	thijs	drs	d		jl	0.000000000000005	-14.34	0.0000
X. Rabattu	rabattu		x			0.000000021626002	-7.67	175.1706
Solomon, Kiflom	solomon	kiflom	k			0.000000000537360	-9.27	4.3526
Pugach, Mikhail	pugach	mikhail	m			0.000000000041824	-10.38	0.3388
Bashi Devnarain	devnarain	bashi	b			0.000000000003782	-11.42	0.0306
Göktürk, H.S.	gokturk	hs	h			0.000000000003768	-11.42	0.0305
Jan Keidel	keidel	jan	j			0.000000000357507	-9.45	2.8958
Juhi Goenka	goenka	juhi	j			0.000000000712338	-9.15	5.7699
Cheng‐Xin Fu	fu	cheng-xin	c			0.000000000599923	-9.22	4.8594
陳詠棠	chen	yong tang	y			0.000000008559499	-8.07	69.3319
Ayatnya Rasul	rasul	ayatnya	a			0.000000000017450	-10.76	0.1413
柳 霞	xia	liu	l			0.000000027575488	-7.56	223.3615
Fauzan Ariga	ariga	fauzan	f			0.000000000118659	-9.93	0.9611
Muhaemin, Ssy, Nim.	muhaemin	ssy	s			0.000000000001000	-12.00	0.0081
Ortel, T.	ortel		t			0.000000036006171	-7.44	291.6500
Vargas, Eddie	vargas	eddie	e			0.000000039820696	-7.40	322.5476
Célia Bellache	bellache	celia	c			0.000000000055896	-10.25	0.4528
Nourah Alajaji	alajaji	nourah	n			0.000000000003686	-11.43	0.0299
Willingham Arve L	l	willingham	w	arve	a	0.000000000000000	-18.00	0.0000
Eui-Seung Hwan	hwan	eui-seung	e			0.000000000001033	-11.99	0.0084
Andrés Rosero	rosero	andres	a			0.000000004330516	-8.36	35.0772
Lupaºc Adrian	adrian	lupaoc	l			0.000000000049318	-10.31	0.3995
Alfonso Hernández Laguna	laguna	alfonso	a	hernandez	h	0.000000000000009	-14.05	0.0001
Nurminen, Siri	nurminen	siri	s			0.000000000009834	-11.01	0.0797
Carrie M. Scott	scott	carrie	c		m	0.000000001184262	-8.93	9.5925
E Gherdan	gherdan		e			0.000000033222746	-7.48	269.1042
Fornea, Adam P.	fornea	adam	a		p	0.000000000021938	-10.66	0.1777
LESUISSE, Olivier	lesuisse	olivier	o			0.000000000163009	-9.79	1.3204
Shylo, Vladimir	shylo	vladimir	v			0.000000000490180	-9.31	3.9705
vbgfhfdghfg		vbgfhfdghfg	v			0.000000000001000	-12.00	0.0081
Raimundo Denis dos Santos Lima	dos santos lima	raimundo	r	denis	d	0.000000000000009	-14.07	0.0001
晃弘 下川	xia chuan	huang hong	h			0.000000000001000	-12.00	0.0081
Satı Hasibe Akdeniz	akdeniz	sati	s	hasibe	h	0.000000000000000	-16.51	0.0000
CH VRS Gopala Krishna	krishna	ch	c	vrs gopala	v	0.000000000000042	-13.38	0.0003
Chang, Boon Chiao	chang	boon	b	chiao	c	0.000000000000003	-14.59	0.0000
Bensaid\n, \nN.	bensaidn	nn	n			0.000000000001000	-12.00	0.0081
Zhaunerchyk, V.;	zhaunerchyk		v			0.000000015176278	-7.82	122.9279
Manzorro, R.	manzorro		r			0.000000045675729	-7.34	369.9734
Klein, Chiara	klein	chiara	c			0.000000006577627	-8.18	53.2788
J. J. Gurewitsch	gurewitsch		j		j	0.000000008815195	-8.05	71.4031
Nancy H. Bullock	bullock	nancy	n		h	0.000000000139156	-9.86	1.1272
Delgadillo, Cristóbal	delgadillo	cristobal	c			0.000000000363966	-9.44	2.9481
Valeria Guaschino	guaschino	valeria	v			0.000000000186512	-9.73	1.5107
Cortes Guerrero, Jairo Daniel	cortes guerrero	jairo	j	daniel	d	0.000000000000129	-12.89	0.0010
Jönsson, Karolin	jonsson	karolin	k			0.000000000040895	-10.39	0.3313
Román Rodríguez, Pablo	roman rodriguez	pablo	p			0.000000000442361	-9.35	3.5831
Pereira,Maria Eloá Moreira da Silva Martins	pereira	maria	m	eloa moreira da silva martins	e	0.000000000000394	-12.40	0.0032
Amir Paisal, Muhammad Sufyan	amir paisal	muhammad	m	sufyan	s	0.000000000000101	-13.00	0.0008
Affordable Books	books	affordable	a			0.000000000020595	-10.69	0.1668
Appriliani Amaliah Diah	diah	appriliani	a	amaliah	a	0.000000000000000	-17.08	0.0000
克行 二村	er cun	ke xing	k			0.000000000001000	-12.00	0.0081
Abel Romero‐Corral	romero-corral	abel	a			0.000000000232262	-9.63	1.8813
Pang, Yanmei	pang	yanmei	y			0.000000001152071	-8.94	9.3318
정원제 ( Won Je Jeong )	jeongweonje					0.000001000000000	-6.00	8100.0000
Akten des 1. Trierer Symposiums zur antiken Wirtschaftsgeschichte	wirtschaftsgeschichte	akten	a	des trierer symposiums zur antiken	d	0.000000000000000	-18.00	0.0000
\n    Rubagotti, Angelo,\n    ed.\n	n rubagotti	angelo	a			0.000000000161406	-9.79	1.3074
Butler, Joseph (1692-1752). Auteur du texte	butler	joseph	j	auteur du texte	a	0.000000000000062	-13.21	0.0005
Schaufelberger J	j	schaufelberger	s			0.000000000001000	-12.00	0.0081
Thomas A. Scartabello	scartabello	thomas	t		a	0.000000000075644	-10.12	0.6127
Ripoll Martínez, Carla	ripoll martinez	carla	c			0.000000000234012	-9.63	1.8955
Noel P. Learmonth	learmonth	noel	n		p	0.000000000003372	-11.47	0.0273
V. Pilosoff	pilosoff		v			0.000000015176278	-7.82	122.9279
In-der-Aue, Roland	in-der-aue	roland	r			0.000000000109444	-9.96	0.8865
W Thoma	thoma		w			0.000000058781354	-7.23	476.1290
V. Nepomnyaschy	nepomnyaschy		v			0.000000015176278	-7.82	122.9279
G Rederer	rederer		g			0.000000033236125	-7.48	269.2126
Andrzej Åazarenkow	aazarenkow	andrzej	a			0.000000000052200	-10.28	0.4228
Sirpa Levo-Aaltonen	levo-aaltonen	sirpa	s			0.000000000001105	-11.96	0.0090
Dhanasekaran, Aatheethyaa	dhanasekaran	aatheethyaa	a			0.000000000004182	-11.38	0.0339
None Afshan Amin Khan	khan	none	n	afshan amin	a	0.000000000000024	-13.62	0.0002
Wang, Xu Wen	wang	xu	x	wen	w	0.000000000477844	-9.32	3.8705
Cabrera Morocho, Magaly Katherine	cabrera morocho	magaly	m	katherine	k	0.000000000000002	-14.70	0.0000
Costa-Belussi, Simone Emmanuelle Alves	costa-belussi	simone	s	emmanuelle alves	e	0.000000000000000	-15.77	0.0000
Vernooij, Eva	vernooij	eva	e			0.000000000265838	-9.58	2.1533
Stantejsky, Dominik	stantejsky	dominik	d			0.000000000084347	-10.07	0.6832
Kraibhumi Thongpan	thongpan	kraibhumi	k			0.000000000001000	-12.00	0.0081
柱亭 张	zhang	zhu ting	z			0.000000011576042	-7.94	93.7659
Laufey Jóhannsdóttir 1960		laufey	l	johannsdottir	j	0.000000000000000	-18.00	0.0000
Ayestaran Uriarte, Jon	ayestaran uriarte	jon	j			0.000000000268547	-9.57	2.1752
G. N. Kuptsova	kuptsova		g		n	0.000000000904336	-9.04	7.3251
Hao‐Ran Huang	huang	hao-ran	h			0.000000004296769	-8.37	34.8038
Jenna Altomonte	altomonte	jenna	j			0.000000000071871	-10.14	0.5822
Rasmussen, Anni	rasmussen	anni	a			0.000000000378161	-9.42	3.0631
Josko Jelicic	jelicic	josko	j			0.000000000001000	-12.00	0.0081
Nora Köster-eiserfunke	koster-eiserfunke	nora	n			0.000000000109150	-9.96	0.8841
ANNA AYUDINA, 113050027	anna	ayudina	a			0.000000000044633	-10.35	0.3615
MARY ANNE CAREY	carey	mary	m	anne	a	0.000000000003665	-11.44	0.0297
Ngo Van Uc	van uc	ngo	n			0.000000000025903	-10.59	0.2098
Pinkard, Libby	pinkard	libby	l			0.000000000020340	-10.69	0.1648
Charles Seymour (21213354)	seymour	charles	c			0.000000006539986	-8.18	52.9739
Hallmann Nadine	nadine	hallmann	h			0.000000000007144	-11.15	0.0579
Vladimir Larichev	larichev	vladimir	v			0.000000000490180	-9.31	3.9705
Min Luan (10808214)	luan	min	m			0.000000018161714	-7.74	147.1099
MARIA DE MONTSERRATH MEDINA ACOSTA	de montserrath medina acosta	maria	m			0.000000000987118	-9.01	7.9957
Stéphanie Duthoy (823257)	duthoy	stephanie	s			0.000000000379665	-9.42	3.0753
Carroll Hood	hood	carroll	c			0.000000000192964	-9.71	1.5630
Igwenyi, I.O	igwenyi	io	i			0.000000000001000	-12.00	0.0081
Andrii Vakal	vakal	andrii	a			0.000000000010081	-11.00	0.0817
Kadri Rizwan	rizwan	kadri	k			0.000000000611299	-9.21	4.9515
COHENTERVAERT, JW	cohentervaert	jw	j			0.000000000006824	-11.17	0.0553
Inseparable Time Evolution	evolution	inseparable	i	time	t	0.000000000000000	-16.76	0.0000
Abiri, M.	abiri		m			0.000000192837146	-6.71	1561.9809
Синещеков Виктор Ефимович	efimovich	sineshchekov	s	viktor	v	0.000000000000000	-15.77	0.0000
В.С. Шелистов	shelistov	vs	v			0.000000000001000	-12.00	0.0081
Bahijjatu Bello-Garko	bello-garko	bahijjatu	b			0.000000000001000	-12.00	0.0081
A. S. Białynicka	bialynicka		a		s	0.000000007326277	-8.14	59.3428
Nunzio Lorè	lore	nunzio	n			0.000000000017092	-10.77	0.1384
Óscar Augusto Solari Ruiz-Eldredge	ruiz-eldredge	oscar	o	augusto solari	a	0.000000000000000	-15.35	0.0000
Krahl, D.	krahl		d			0.000000049281217	-7.31	399.1779
M. K. Kenjaliyev	kenjaliyev		m		k	0.000000003456054	-8.46	27.9940
Yacine Ait Yahia	yahia	yacine	y	ait	a	0.000000000000007	-14.13	0.0001
Özler, Mustafa	ozler	mustafa	m			0.000000000693656	-9.16	5.6186
Yuan Hsuan Lee	lee	yuan	y	hsuan	h	0.000000000000560	-12.25	0.0045
Kristopher Lundine (22268140)	lundine	kristopher	k			0.000000000010820	-10.97	0.0876
Mammadov, Vugar Mammadhuseyn	mammadov	vugar	v	mammadhuseyn	m	0.000000000000000	-15.66	0.0000
D C Beasley	beasley		d		c	0.000000032746607	-7.48	265.2475
Sameena Naz	naz	sameena	s			0.000000000184282	-9.73	1.4927
Nikolas Thomas	thomas	nikolas	n			0.000000008362875	-8.08	67.7393
Tordis Broch	broch	tordis	t			0.000000000001000	-12.00	0.0081
G. Pasda	pasda		g			0.000000033236125	-7.48	269.2126
Keepers, Kyle Garrett	keepers	kyle	k	garrett	g	0.000000000000013	-13.89	0.0001
Seyyed Rezvan Moeinossadat	moeinossadat	seyyed	s	rezvan	r	0.000000000000000	-16.92	0.0000
Janelidze, Davit	janelidze	davit	d			0.000000000006896	-11.16	0.0559
M. Baigmohammadi	baigmohammadi		m			0.000000092036334	-7.04	745.4943
FArivm		farivm	f			0.000000000001000	-12.00	0.0081
Annahita Sedghi; Timo Siepmann; Lars-Peder Pallesen; Heinz Reichmann; Volker Puetz; Jessica Barlinn; Kristian Barlinn	barlinn	annahita	a	sedghi timo siepmann lars-peder pallesen heinz reichmann volker puetz jessica barlinn kristian	s	0.000000000000000	-18.00	0.0000
Schaffer, Susanna	schaffer	susanna	s			0.000000000196772	-9.71	1.5939
Zettler C	c	zettler	z			0.000000000001000	-12.00	0.0081
Gemälde-Galerie Abels	abels	gemalde-galerie	g			0.000000000002043	-11.69	0.0165
Fleishman, Gregory D.	fleishman	gregory	g		d	0.000000000005820	-11.24	0.0471
SAIDI R	saidi		r			0.000001854035717	-5.73	15017.6893
Moreira,Andréia Donza Rezende	moreira	andreia	a	donza rezende	d	0.000000000000006	-14.22	0.0000
Bassam Anazi	anazi	bassam	b			0.000000000039300	-10.41	0.3183
Kamer, Amal M. Abo	kamer	amal	a	m abo	m	0.000000000000000	-15.52	0.0000
Franceschini, Pietro	franceschini	pietro	p			0.000000000167840	-9.78	1.3595
Hernan G Vasquez	vasquez	hernan	h		g	0.000000000373005	-9.43	3.0213
L F. Macdonald	macdonald		l		f	0.000000065897495	-7.18	533.7697
Charles  Akiya Oyoo	oyoo	charles	c	akiya	a	0.000000000000003	-14.50	0.0000
Naranjo - Zafra, María Ángela	naranjo - zafra	maria	m	angela	a	0.000000000000382	-12.42	0.0031
Alicia Diaz-Gil 1, Olga Kozlowska 2, Sarah Pendlebury 3	alicia diaz-gil	olga	o	kozlowska	k	0.000000000000001	-15.10	0.0000
AVCI, Ümmühan; Bartın Üniversitesi	avci	ummuhan	u	bartin universitesi	b	0.000000000000000	-16.13	0.0000
Nakazawa, Yuki (author)	nakazawa	yuki	y			0.000000001615544	-8.79	13.0859
Hauw JJ	jj	hauw	h			0.000000000019924	-10.70	0.1614
Patrícia Puccinelli Orlandi	orlandi	patricia	p	puccinelli	p	0.000000000000003	-14.60	0.0000
Guiying Ruan	ruan	guiying	g			0.000000000735312	-9.13	5.9560
Quinteros Vásquez, Brian Mark	quinteros vasquez	brian	b	mark	m	0.000000000000691	-12.16	0.0056
Шевцов, М. Ю.	shevtsov		m	iu	i	0.000000000000572	-12.24	0.0046
MASCITELLI, ELEONORA	eleonora	mascitelli	m			0.000000000001324	-11.88	0.0107
van der Meel, Roy; https://orcid.org/0000-0002-2200-7946	van der meel	roy	r	httpsorcidorg---	h	0.000000000000000	-15.77	0.0000
FSBEI HE “Saint Petersburg State University of Veterinary Medicine” (FSBEI HE SPbSUVM), S.-Petersburg, Russia	fsbei	he	h	saint petersburg state university of veterinary medicine fsbei he spbsuvm s-petersburg russia	s	0.000000000000000	-15.98	0.0000
John C. Defries	defries	john	j		c	0.000000000107687	-9.97	0.8723
Desportes Jm	jm	desportes	d			0.000000000001000	-12.00	0.0081
Gnter Holthaus	holthaus	gnter	g			0.000000000001000	-12.00	0.0081
Piña, Lola	pina	lola	l			0.000000003198687	-8.50	25.9094
Filali, Youssef	filali	youssef	y			0.000000001830736	-8.74	14.8290
Razieh Sharifmoghadasi	sharifmoghadasi	razieh	r			0.000000000001607	-11.79	0.0130
Macklin, E.A.	macklin	ea	e			0.000000000014626	-10.83	0.1185
Jordi Blade	blade	jordi	j			0.000000000600404	-9.22	4.8633
Karin Rossnagel	rossnagel	karin	k			0.000000000069990	-10.15	0.5669
Yongxin Tan	tan	yongxin	y			0.000000045485718	-7.34	368.4343
